season,team,projected_total_dvoa,ending_total_dvoa,ending_pass_dvoa,ending_rush_dvoa,ending_st_dvoa
2006,ARI,-0.175,-0.243,-0.108,0.074,-0.061
2006,ATL,0.084,-0.055,0.004,0.013,-0.046
2006,BAL,-0.003,0.259,0.006,-0.215,0.039
2006,BUF,-0.233,-0.027,-0.082,0.016,0.071
2006,CAR,0.111,0.041,-0.022,-0.095,-0.032
2006,CHI,0.112,0.246,-0.044,-0.203,0.087
2006,CIN,0.191,0.07,0.129,0.073,0.014
2006,CLE,-0.088,-0.142,-0.123,0.053,0.033
2006,DAL,-0.024,0.073,0.094,0.017,-0.005
2006,DEN,0.183,0.009,-0.026,-0.029,0.006
2006,DET,-0.087,-0.181,-0.102,0.109,0.03
2006,GB,-0.134,-0.051,-0.038,-0.034,-0.048
2006,HOU,-0.21,-0.177,-0.059,0.096,-0.022
2006,IND,0.276,0.183,0.284,0.065,-0.036
2006,JAX,0.042,0.233,0.073,-0.165,-0.005
2006,KC,0.194,0.031,0.053,0.035,0.013
2006,LAC,0.212,0.297,0.221,-0.027,0.049
2006,LAR,-0.246,-0.155,0.005,0.107,-0.053
2006,MIA,-0.004,-0.044,-0.106,-0.071,-0.009
2006,MIN,-0.194,-0.102,-0.157,-0.098,-0.044
2006,NE,0.068,0.218,0.129,-0.06,0.029
2006,NO,-0.341,0.077,0.084,0.014,0.006
2006,NYG,0.02,0.113,0.099,-0.013,0.001
2006,NYJ,-0.267,0.042,0.042,0.038,0.037
2006,OAK,0.018,-0.315,-0.345,-0.069,-0.039
2006,PHI,0.12,0.216,0.196,-0.045,-0.025
2006,PIT,0.156,0.09,0.094,-0.046,-0.05
2006,SEA,0.398,-0.121,-0.109,0.04,0.029
2006,SF,-0.256,-0.194,-0.083,0.112,0.001
2006,TB,0,-0.195,-0.148,0.049,0.003
2006,TEN,-0.074,-0.078,-0.071,0.034,0.028
2006,WAS,0.072,-0.112,0.029,0.16,0.019
2007,ARI,-0.186,-0.133,-0.018,0.07,-0.045
2007,ATL,0.002,-0.254,-0.184,0.07,-0.001
2007,BAL,0.12,-0.065,-0.14,-0.075,0.001
2007,BUF,-0.047,-0.033,-0.08,0.002,0.049
2007,CAR,0.105,-0.227,-0.159,0.009,-0.058
2007,CHI,0.038,-0.04,-0.188,-0.036,0.112
2007,CIN,-0.035,-0.02,0.121,0.132,-0.008
2007,CLE,-0.097,0.094,0.092,0.078,0.081
2007,DAL,-0.098,0.26,0.185,-0.079,-0.004
2007,DEN,0.002,-0.022,0.078,0.048,-0.051
2007,DET,-0.095,-0.209,-0.076,0.098,-0.035
2007,GB,0.057,0.214,0.146,-0.038,0.03
2007,HOU,-0.173,0.03,0.047,0.086,0.069
2007,IND,0.07,0.295,0.208,-0.156,-0.069
2007,JAX,0.247,0.182,0.159,-0.023,0
2007,KC,-0.256,-0.206,-0.18,-0.014,-0.04
2007,LAC,0.088,0.173,0.038,-0.084,0.051
2007,LAR,-0.243,-0.304,-0.205,0.052,-0.047
2007,MIA,-0.143,-0.271,-0.095,0.149,-0.027
2007,MIN,-0.09,0.046,-0.009,-0.03,0.025
2007,NE,0.319,0.523,0.376,-0.11,0.036
2007,NO,-0.045,-0.071,0.041,0.07,-0.043
2007,NYG,-0.035,0.045,0.016,-0.037,-0.009
2007,NYJ,0.078,-0.156,-0.078,0.095,0.016
2007,OAK,-0.122,-0.297,-0.152,0.091,-0.055
2007,PHI,0.26,0.106,0.144,-0.026,-0.064
2007,PIT,0.102,0.156,0.061,-0.11,-0.016
2007,SEA,0.001,0.105,0.047,-0.046,0.012
2007,SF,-0.015,-0.354,-0.314,0.091,0.052
2007,TB,0.105,0.139,0.042,-0.094,0.003
2007,TEN,-0.066,0.11,-0.017,-0.13,-0.004
2007,WAS,0.112,0.098,0.01,-0.092,-0.004
2008,ARI,-0.022,-0.071,0.021,0.047,-0.046
2008,ATL,-0.417,0.135,0.101,0.004,0.038
2008,BAL,0.031,0.271,-0.006,-0.277,0.001
2008,BUF,-0.156,-0.078,-0.072,0.078,0.071
2008,CAR,0.029,0.163,0.099,-0.036,0.027
2008,CHI,-0.03,0.06,-0.085,-0.097,0.047
2008,CIN,-0.03,-0.207,-0.171,0.009,-0.028
2008,CLE,-0.142,-0.191,-0.182,0.059,0.049
2008,DAL,0.107,0.055,0.026,-0.065,-0.036
2008,DEN,0.011,-0.063,0.187,0.181,-0.07
2008,DET,-0.227,-0.439,-0.229,0.223,0.013
2008,GB,0.315,0.069,0.058,-0.016,-0.005
2008,HOU,0.012,-0.051,0.072,0.122,-0.001
2008,IND,0.217,0.115,0.123,-0.015,-0.023
2008,JAX,0.16,-0.07,0.042,0.104,-0.008
2008,KC,-0.176,-0.302,-0.092,0.141,-0.07
2008,LAC,0.255,0.091,0.147,0.075,0.018
2008,LAR,-0.284,-0.392,-0.265,0.122,-0.006
2008,MIA,-0.223,0.04,0.125,0.026,-0.059
2008,MIN,0.225,0.031,-0.066,-0.176,-0.079
2008,NE,0.4,0.164,0.11,-0.012,0.042
2008,NO,-0.004,0.116,0.16,0.036,-0.009
2008,NYG,0.052,0.273,0.177,-0.077,0.019
2008,NYJ,-0.059,0.022,0.006,0.016,0.032
2008,OAK,-0.248,-0.205,-0.245,0.025,0.065
2008,PHI,0.323,0.289,0.059,-0.214,0.017
2008,PIT,0.056,0.249,-0.006,-0.269,-0.015
2008,SEA,0.193,-0.235,-0.139,0.125,0.029
2008,SF,-0.288,-0.149,-0.143,0.058,0.052
2008,TB,0.188,0.075,0.009,-0.071,-0.005
2008,TEN,-0.038,0.208,0.012,-0.182,0.013
2008,WAS,-0.103,0.044,0.057,-0.014,-0.026
2009,ARI,-0.202,0.163,0.09,-0.056,0.017
2009,ATL,-0.172,0.02,0.06,0.027,-0.013
2009,BAL,0.146,0.236,0.108,-0.106,0.022
2009,BUF,-0.287,-0.104,-0.181,-0.066,0.011
2009,CAR,-0.005,0.038,-0.004,-0.08,-0.037
2009,CHI,0.241,-0.161,-0.161,0.047,0.047
2009,CIN,-0.057,0.003,0,-0.015,-0.013
