season,week,team,pass_off_faced,pass_off_norm_faced,pass_off_ptile_faced,pass_def_faced,pass_def_norm_faced,pass_def_ptile_faced,rush_off_faced,rush_off_norm_faced,rush_off_ptile_faced,rush_def_faced,rush_def_norm_faced,rush_def_ptile_faced,st_off_faced,st_off_norm_faced,st_off_ptile_faced,st_def_faced,st_def_norm_faced,st_def_ptile_faced
1999,1,ARI,0.0259,-0.044,0.511,-0.1762,0.2889,0.432,-0.1171,-0.1457,0.5076,-0.1467,0.2193,0.2155,0.3194,0.2312,0.8153,0.2881,0.0033,0.7923
1999,2,ARI,-0.0229,-0.0338,0.5184,-0.0997,0.301,0.4364,-0.0933,-0.1288,0.551,-0.0434,0.2256,0.225,0.4015,0.3531,0.9646,0.2623,0.0689,0.8812
1999,3,ARI,-0.3015,-0.3323,0.3214,-0.407,-0.0015,0.338,0.074,-0.0062,0.833,0.0203,0.2416,0.253,0.149,0.2097,0.7705,0.0426,-0.0708,0.6465
1999,4,ARI,-0.1144,-0.1737,0.4253,-0.3297,0.1054,0.3721,0.0248,-0.0354,0.7771,0.0636,0.2558,0.276,0.2208,0.3078,0.9313,0.0726,-0.0164,0.7566
1999,5,ARI,-0.0407,-0.0921,0.479,-0.928,-0.4932,0.206,0.0553,-0.0074,0.8309,0.0138,0.215,0.2083,0.0847,0.1724,0.6807,0.0331,-0.0529,0.6861
1999,6,ARI,-0.1213,-0.1483,0.4411,-0.2197,0.1886,0.3982,-0.0532,-0.0808,0.6728,0.155,0.2978,0.3477,0.0152,0.084,0.4337,-0.0337,-0.1252,0.5234
1999,7,ARI,-0.1213,-0.156,0.4361,-0.2197,0.1695,0.3924,-0.0532,-0.0752,0.6874,0.155,0.2848,0.3244,0.0152,0.0763,0.4113,-0.0337,-0.1142,0.5502
1999,8,ARI,-0.2885,-0.3525,0.3089,0.1365,0.5775,0.5286,-0.0339,-0.0511,0.7421,0.1461,0.2754,0.3077,-0.0297,0.002,0.2237,-0.08,-0.1864,0.3824
1999,9,ARI,-0.097,-0.1585,0.4347,-0.874,-0.6086,0.1782,-0.0308,-0.0447,0.7561,0.1362,0.2627,0.2865,0.0501,0.1144,0.5227,-0.0292,-0.102,0.5774
1999,10,ARI,-0.0677,-0.1492,0.4408,-0.7538,-0.4593,0.2145,-0.0021,-0.0194,0.8097,0.1562,0.2661,0.2915,0.0293,0.0734,0.404,-0.0292,-0.0943,0.5936
1999,11,ARI,-0.0493,-0.1551,0.4368,-0.6481,-0.2113,0.2766,-0.0191,-0.0568,0.7296,0.224,0.3486,0.4393,0.042,0.0944,0.463,-0.1258,-0.2743,0.2053
1999,12,ARI,0.1191,0.0129,0.552,-1.0414,-0.7126,0.1583,0.018,-0.0185,0.8115,0.1616,0.2881,0.3303,0.0839,0.1645,0.6611,-0.0913,-0.2249,0.2991
1999,13,ARI,0.1583,0.074,0.5931,-1.1848,-0.9373,0.1193,-0.002,-0.0222,0.8032,0.2434,0.34,0.4241,0.035,0.0861,0.4395,-0.0931,-0.2362,0.2759
1999,14,ARI,0.0343,-0.1083,0.4678,-0.8788,-0.5968,0.18,-0.0593,-0.0564,0.7309,0.3825,0.4396,0.6055,0.0295,0.081,0.4245,-0.0718,-0.1984,0.3552
1999,15,ARI,0.1258,-0.0167,0.5303,-0.6831,-0.3055,0.2505,-0.0282,-0.0197,0.809,0.3272,0.3819,0.5002,0.0011,0.0357,0.3031,-0.0983,-0.258,0.2338
1999,16,ARI,0.0211,-0.2146,0.3978,-0.748,-0.3336,0.244,-0.0753,-0.0524,0.7393,0.2781,0.3291,0.4034,0.0357,0.0872,0.443,-0.103,-0.2584,0.2327
1999,17,ARI,0.0017,-0.2576,0.3676,-0.6791,-0.2239,0.2727,-0.1126,-0.0759,0.6852,0.2615,0.3019,0.3548,0.0484,0.1086,0.5048,-0.0821,-0.2226,0.3047
2000,1,ARI,-0.4815,-0.3708,0.2979,0.2019,0.5013,0.5017,-0.1048,-0.14,0.5233,-0.1557,0.2156,0.2094,0.1308,0.1534,0.6295,0.4344,0.0706,0.883
2000,2,ARI,-0.2359,-0.2189,0.394,0.8103,0.9669,0.6583,-0.1813,-0.1783,0.4161,0.4179,0.4626,0.6453,0.1089,0.164,0.6595,-0.0747,-0.1728,0.4146
2000,3,ARI,-0.2359,-0.2667,0.3611,0.8103,1.0656,0.6888,-0.1813,-0.1832,0.4035,0.4179,0.4691,0.6567,0.1089,0.1757,0.6886,-0.0747,-0.1702,0.4202
2000,4,ARI,-0.5245,-0.5964,0.1773,1.0893,1.525,0.8099,-0.0754,-0.1085,0.6003,0.3515,0.4354,0.5976,-0.0722,-0.0027,0.213,-0.114,-0.2254,0.2982
2000,5,ARI,-1.2868,-1.362,0.009,1.5824,2.0533,0.9017,-0.1875,-0.1919,0.3815,0.5907,0.5833,0.821,-0.0496,0.0062,0.2333,-0.066,-0.1716,0.4165
2000,6,ARI,-1.1932,-1.3331,0.0111,1.0391,1.5562,0.8175,-0.3924,-0.3513,0.0719,0.4764,0.5116,0.7247,-0.1186,-0.0805,0.0824,-0.1475,-0.2792,0.1968
2000,7,ARI,-0.7502,-0.8755,0.0751,0.5247,1.0324,0.6776,-0.3491,-0.3094,0.1264,0.4639,0.4958,0.6992,-0.1786,-0.1826,0.013,-0.0965,-0.2138,0.3232
2000,8,ARI,-0.7616,-0.8904,0.0719,0.4441,0.9417,0.6499,-0.4223,-0.3582,0.0652,0.5494,0.5477,0.7755,-0.0623,-0.0452,0.1323,-0.0327,-0.1078,0.5645
