season,week,team,opponent,elo,qb_adj,pass_off_value_pre,pass_def_value_pre,rush_off_value_pre,rush_def_value_pre,st_off_value_pre,st_def_value_pre,pass_off_value_post,pass_def_value_post,rush_off_value_post,rush_def_value_post,st_off_value_post,st_def_value_post
1999,1,PHI,ARI,1505.0,-15.3009,0.0,0.0,0.0,0.0,0.0,0.0,-0.8057,-0.0263,0.0444,0.1792,-0.0057,-0.0142
1999,1,ARI,PHI,1505.0,4.7406,0.0,0.0,0.0,0.0,0.0,0.0,0.0837,0.5999,-0.2086,-0.0361,0.0236,0.0033
1999,1,IND,BUF,1505.0,4.4365,0.0,0.0,0.0,0.0,0.0,0.0,0.8504,0.5633,-0.2078,0.0013,-0.1633,-0.0022
1999,1,BUF,IND,1505.0,5.6887,0.0,0.0,0.0,0.0,0.0,0.0,-0.7182,-0.5916,-0.0015,0.1691,0.0037,0.0943
1999,1,NO,CAR,1505.0,2.2628,0.0,0.0,0.0,0.0,0.0,0.0,-0.474,0.8486,-0.0765,-0.0521,-0.0734,0.0663
1999,1,CAR,NO,1505.0,-2.8506,0.0,0.0,0.0,0.0,0.0,0.0,-1.0992,0.3215,0.0607,0.0622,-0.1103,0.0424
1999,1,TEN,CIN,1505.0,9.9697,0.0,0.0,0.0,0.0,0.0,0.0,0.3919,-0.6251,-0.0277,-0.0733,0.1292,-0.0193
1999,1,CIN,TEN,1505.0,7.872,0.0,0.0,0.0,0.0,0.0,0.0,0.7951,-0.2776,0.0854,0.0225,0.0322,-0.0746
1999,1,WAS,DAL,1505.0,12.271,0.0,0.0,0.0,0.0,0.0,0.0,0.8726,-0.7442,0.071,-0.2867,-0.0273,-0.0088
1999,1,DAL,WAS,1505.0,-0.4689,0.0,0.0,0.0,0.0,0.0,0.0,0.921,-0.6331,0.3339,-0.0577,0.0147,0.0158
1999,1,SEA,DET,1505.0,-16.4306,0.0,0.0,0.0,0.0,0.0,0.0,-0.2528,0.2797,-0.0606,-0.0387,-0.1029,-0.1061
1999,1,DET,SEA,1505.0,-1.9642,0.0,0.0,0.0,0.0,0.0,0.0,-0.3221,0.2034,0.045,0.0493,0.1767,0.0594
1999,1,CHI,KC,1505.0,-27.8481,0.0,0.0,0.0,0.0,0.0,0.0,-0.2675,-0.1465,0.0436,-0.0868,-0.1194,0.0564
1999,1,KC,CHI,1505.0,-8.3074,0.0,0.0,0.0,0.0,0.0,0.0,0.2363,0.2231,0.1011,-0.0354,-0.0939,0.0689
1999,1,DEN,MIA,1505.0,-23.1661,0.0,0.0,0.0,0.0,0.0,0.0,0.6594,-0.5806,0.0148,-0.2077,-0.1817,-0.0116
1999,1,MIA,DEN,1505.0,8.4129,0.0,0.0,0.0,0.0,0.0,0.0,0.8221,-0.4019,0.2418,-0.0121,0.0194,0.1049
1999,1,ATL,MIN,1505.0,8.6433,0.0,0.0,0.0,0.0,0.0,0.0,0.5431,-0.7134,-0.0224,0.125,-0.3139,0.1004
1999,1,MIN,ATL,1505.0,16.6915,0.0,0.0,0.0,0.0,0.0,0.0,0.9335,-0.3644,-0.1455,0.0182,-0.1672,0.1812
1999,1,NYJ,NE,1505.0,24.9524,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,-0.2836,0.034,0.0511,-0.0144,0.0133
1999,1,NE,NYJ,1505.0,0.1597,0.0,0.0,0.0,0.0,0.0,0.0,0.3014,-0.0483,-0.0595,-0.0277,-0.0222,0.0083
1999,1,TB,NYG,1505.0,-1.7638,0.0,0.0,0.0,0.0,0.0,0.0,-1.7457,0.4674,-0.048,0.1728,0.1176,-0.0434
1999,1,NYG,TB,1505.0,3.4131,0.0,0.0,0.0,0.0,0.0,0.0,-0.5855,1.2288,-0.2012,0.0391,0.0723,-0.0679
1999,1,GB,OAK,1505.0,7.4821,0.0,0.0,0.0,0.0,0.0,0.0,0.504,-0.2091,-0.0083,-0.1473,-0.0626,0.0988
1999,1,OAK,GB,1505.0,15.6106,0.0,0.0,0.0,0.0,0.0,0.0,0.288,-0.3369,0.1715,0.0067,-0.1645,0.0361
1999,1,CLE,PIT,1505.0,-6.8808,0.0,0.0,0.0,0.0,0.0,0.0,-1.2481,-1.117,0.0224,-0.1703,-0.071,0.0084
1999,1,PIT,CLE,1505.0,-9.4565,0.0,0.0,0.0,0.0,0.0,0.0,1.4237,0.8669,0.1983,-0.0183,-0.014,0.041
1999,1,JAX,SF,1505.0,-0.0908,0.0,0.0,0.0,0.0,0.0,0.0,0.3597,1.2945,-0.1589,0.0163,0.099,0.0569
1999,1,SF,JAX,1505.0,14.7023,0.0,0.0,0.0,0.0,0.0,0.0,-1.6205,-0.2237,-0.019,0.1293,-0.0947,-0.0572
1999,2,MIA,ARI,1528.9207,12.7048,0.8221,-0.4019,0.2418,-0.0121,0.0194,0.1049,0.2454,0.0727,0.0743,0.085,0.041,0.0992
1999,2,ARI,MIA,1509.705,2.0299,0.0837,0.5999,-0.2086,-0.0361,0.0236,0.0033,-0.5506,0.9828,-0.3216,0.1002,0.0331,-0.0092
1999,2,DAL,ATL,1523.6249,7.1636,0.921,-0.6331,0.3339,-0.0577,0.0147,0.0158,0.4945,0.0382,0.3851,-0.0273,-0.0331,0.0276
1999,2,ATL,DAL,1498.2557,-113.617,0.5431,-0.7134,-0.0224,0.125,-0.3139,0.1004,-0.6174,-0.6397,-0.0578,0.0833,-0.3337,0.128
1999,2,TEN,CLE,1500.6023,-78.797,0.3919,-0.6251,-0.0277,-0.0733,0.1292,-0.0193,1.2049,-0.4499,0.0953,-0.1532,0.1356,-0.0627
1999,2,CLE,TEN,1448.6847,30.7885,-1.2481,-1.117,0.0224,-0.1703,-0.071,0.0084,-1.1994,-1.4814,0.1154,-0.2703,0.0012,0.0047
1999,2,KC,DEN,1516.3702,-7.617,0.2363,0.2231,0.1011,-0.0354,-0.0939,0.0689,0.2203,0.4149,0.1228,0.0697,0.0064,-0.0112
1999,2,DEN,KC,1490.6288,-12.3835,0.6594,-0.5806,0.0148,-0.2077,-0.1817,-0.0116,0.4019,-0.5783,-0.1076,-0.2253,-0.0483,-0.0696
1999,2,DET,GB,1516.553,-2.5825,-0.3221,0.2034,0.045,0.0493,0.1767,0.0594,-0.2761,0.3285,-0.0262,0.1151,0.2629,0.078
1999,2,GB,DET,1506.715,8.0333,0.504,-0.2091,-0.0083,-0.1473,-0.0626,0.0988,0.3703,-0.2215,-0.0849,-0.0893,-0.0935,0.049
1999,2,NE,IND,1506.0427,6.4946,0.3014,-0.0483,-0.0595,-0.0277,-0.0222,0.0083,0.8968,-0.3976,-0.2829,-0.0251,0.0083,-0.0149
1999,2,IND,NE,1518.2392,7.4815,0.8504,0.5633,-0.2078,0.0013,-0.1633,-0.0022,1.3001,0.1493,-0.2107,0.1831,-0.1247,-0.0198
1999,2,CAR,JAX,1491.7893,-10.2095,-1.0992,0.3215,0.0607,0.0622,-0.1103,0.0424,-0.5554,-0.1513,0.1385,-0.1472,-0.0292,0.0593
1999,2,JAX,CAR,1539.0557,6.8099,0.3597,1.2945,-0.1589,0.0163,0.099,0.0569,1.0075,0.9463,0.085,-0.0471,0.0707,0.01
1999,2,CIN,LAC,1517.7217,11.8259,0.7951,-0.2776,0.0854,0.0225,0.0322,-0.0746,-0.5335,-0.3139,-0.085,0.146,-0.0646,-0.1482
1999,2,LAC,CIN,1505.0,13.9502,0.0,0.0,0.0,0.0,0.0,0.0,0.0518,0.9319,-0.1438,0.1386,0.1226,0.0559
1999,2,SF,NO,1465.7635,-3.0003,-1.6205,-0.2237,-0.019,0.1293,-0.0947,-0.0572,-1.1358,-0.98,0.0089,0.3081,-0.0744,-0.0751
1999,2,NO,SF,1507.1716,-1.0385,-0.474,0.8486,-0.0765,-0.0521,-0.0734,0.0663,0.4992,0.5137,-0.2847,-0.0747,-0.0435,0.0546
