season,week,team,pass_off_norm_value_pre,pass_off_ptile_pre,rush_off_norm_value_pre,rush_off_ptile_pre,st_off_norm_value_pre,st_off_ptile_pre,pass_def_norm_value_pre,pass_def_ptile_pre,rush_def_norm_value_pre,rush_def_ptile_pre,st_def_norm_value_pre,st_def_ptile_pre,pass_off_norm_value_post,pass_off_ptile_post,rush_off_norm_value_post,rush_off_ptile_post,st_off_norm_value_post,st_off_ptile_post,pass_def_norm_value_post,pass_def_ptile_post,rush_def_norm_value_post,rush_def_ptile_post,st_def_norm_value_post,st_def_ptile_post
1999,1,ARI,0.3597,0.4149,0.1405,0.284,-0.1176,0.4791,-0.0269,0.6287,0.0136,0.7021,0.0804,0.5329,0.4745,0.4255,0.0139,0.1952,-0.0887,0.5075,0.561,0.7453,-0.0943,0.6063,0.0846,0.5364
1999,2,ARI,0.4861,0.4327,0.0177,0.1954,-0.087,0.5082,0.5494,0.7489,-0.1029,0.5925,0.0833,0.5383,-0.124,0.3535,-0.1371,0.1183,-0.0769,0.52,0.8614,0.7972,0.0189,0.7078,0.0735,0.5205
1999,3,ARI,-0.1452,0.3532,-0.1349,0.116,-0.075,0.5203,0.8505,0.8045,0.014,0.7035,0.072,0.5196,-0.5288,0.3069,-0.1382,0.1179,-0.0358,0.5595,0.8575,0.7963,-0.1796,0.5325,-0.0173,0.3777
1999,4,ARI,-0.5711,0.3041,-0.136,0.1157,-0.0333,0.5626,0.8465,0.8035,-0.1911,0.5117,-0.021,0.3707,-1.1067,0.2451,-0.239,0.0807,-0.0727,0.5239,0.3238,0.7013,-0.1439,0.5658,0.0376,0.4679
1999,5,ARI,-1.1789,0.2396,-0.2379,0.0774,-0.0707,0.525,0.3117,0.7028,-0.1543,0.5479,0.0352,0.4638,-0.9939,0.2585,-0.4059,0.0379,-0.1208,0.4792,0.6698,0.7647,-0.085,0.6154,0.0609,0.5022
1999,6,ARI,-1.0581,0.2514,-0.4066,0.0354,-0.1196,0.4765,0.6584,0.7697,-0.0931,0.6017,0.0591,0.4997,-1.7182,0.1822,-0.4796,0.0281,0.04,0.6277,0.6432,0.7604,-0.2654,0.4578,0.0524,0.4897
1999,7,ARI,-1.0581,0.2514,-0.4066,0.0354,-0.1196,0.4765,0.6584,0.7697,-0.0931,0.6017,0.0591,0.4997,-1.7182,0.1822,-0.4796,0.0281,0.04,0.6277,0.6432,0.7604,-0.2654,0.4578,0.0524,0.4897
1999,8,ARI,-1.8186,0.1723,-0.4811,0.0264,0.0437,0.6336,0.6318,0.7648,-0.2797,0.4313,0.0503,0.4862,-3.392,0.0721,-0.4354,0.033,0.1466,0.7205,0.2824,0.6921,-0.2739,0.4487,0.0865,0.5397
1999,9,ARI,-3.5804,0.0642,-0.4364,0.0308,0.1521,0.7277,0.2701,0.6942,-0.2883,0.4225,0.0853,0.5409,-3.7201,0.0604,-0.3753,0.0434,0.0182,0.6092,-0.163,0.5945,-0.2379,0.4834,0.1326,0.6037
1999,10,ARI,-3.92,0.0535,-0.3757,0.0402,0.0216,0.614,-0.1762,0.5893,-0.2512,0.4592,0.1325,0.6087,-3.5718,0.0649,-0.2349,0.0819,0.008,0.5994,-0.458,0.5225,-0.2177,0.4998,0.2073,0.7077
1999,11,ARI,-3.7574,0.0585,-0.2337,0.0794,0.0113,0.6039,-0.4718,0.5139,-0.2305,0.4777,0.209,0.7159,-3.8998,0.0546,-0.1014,0.1347,0.0596,0.6451,-0.0501,0.6215,-0.2787,0.4437,0.2119,0.7144
1999,12,ARI,-4.0972,0.0479,-0.0989,0.1324,0.0637,0.651,-0.063,0.6176,-0.2935,0.4174,0.2136,0.7221,-3.3627,0.0735,-0.1162,0.1277,0.1282,0.7044,0.2209,0.68,-0.3248,0.3983,0.183,0.6732
1999,13,ARI,-3.5255,0.0659,-0.1138,0.1255,0.1334,0.7117,0.2085,0.6822,-0.3408,0.3711,0.1841,0.68,-3.3709,0.0733,-0.1189,0.1265,0.1479,0.7211,0.0774,0.6495,-0.2448,0.477,0.1928,0.6868
1999,14,ARI,-3.5295,0.0658,-0.1165,0.1243,0.1535,0.7292,0.0648,0.6495,-0.2577,0.453,0.1941,0.6932,-4.3343,0.0415,-0.1189,0.1264,0.3215,0.8438,0.165,0.6673,-0.3436,0.3811,0.2283,0.7369
1999,15,ARI,-4.5403,0.0356,-0.1166,0.1243,0.3298,0.8528,0.1525,0.669,-0.3586,0.3554,0.2303,0.7452,-4.2089,0.0456,0.0871,0.2446,0.3472,0.8579,-0.3307,0.5532,-0.4767,0.2756,0.1739,0.6609
1999,16,ARI,-4.4024,0.0394,0.0917,0.2482,0.356,0.8664,-0.3443,0.5469,-0.4961,0.2486,0.1747,0.6663,-4.6284,0.0341,0.2397,0.3589,0.275,0.8131,-0.9681,0.3924,-0.6376,0.1746,0.1753,0.6632
1999,17,ARI,-4.8387,0.0294,0.2458,0.3684,0.2826,0.8234,-0.9831,0.3769,-0.6618,0.1518,0.176,0.669,-4.4167,0.0392,0.3059,0.4087,0.3358,0.8511,-1.3961,0.3001,-0.9315,0.0617,0.0793,0.5288
2000,1,ARI,-3.3112,0.0758,0.2454,0.3681,0.1875,0.7559,-0.7529,0.4385,-0.434,0.2952,0.0786,0.5289,-2.855,0.0996,0.1601,0.2961,0.3264,0.8467,-0.7603,0.4445,-0.5721,0.2108,0.118,0.5836
2000,2,ARI,-2.8767,0.0982,0.1654,0.3034,0.3348,0.8548,-0.7748,0.4325,-0.5871,0.1901,0.1175,0.5875,-1.4466,0.21,0.1173,0.2659,0.313,0.8376,-1.5446,0.2692,-0.5387,0.2317,0.0725,0.5181
2000,3,ARI,-2.8767,0.0982,0.1654,0.3034,0.3348,0.8548,-0.7748,0.4325,-0.5871,0.1901,0.1175,0.5875,-1.4466,0.21,0.1173,0.2659,0.313,0.8376,-1.5446,0.2692,-0.5387,0.2317,0.0725,0.5181
2000,4,ARI,-1.396,0.2159,0.1222,0.2705,0.3212,0.8475,-1.5609,0.2513,-0.5528,0.2107,0.0709,0.5169,-2.1932,0.1433,0.1099,0.2606,0.365,0.8655,-2.232,0.1509,-0.5863,0.2029,0.038,0.4685
2000,5,ARI,-2.1858,0.1427,0.1147,0.2652,0.374,0.8746,-2.2499,0.1354,-0.6021,0.1817,0.0357,0.4647,-2.1903,0.1435,0.2895,0.3953,0.2259,0.7794,-2.1657,0.1608,-0.6092,0.1907,0.0286,0.4521
2000,6,ARI,-2.1842,0.1429,0.2962,0.4061,0.2327,0.7892,-2.1834,0.145,-0.6258,0.1696,0.026,0.4468,-1.7104,0.1832,0.5518,0.5794,0.2196,0.7741,-1.9543,0.1939,-0.7925,0.1011,-0.0253,0.3644
2000,7,ARI,-1.6796,0.1873,0.5613,0.597,0.2263,0.7832,-1.9716,0.1764,-0.816,0.0851,-0.0291,0.3564,-1.5484,0.2007,0.5905,0.6029,0.2496,0.7965,-2.6915,0.0956,-0.961,0.0546,-0.0395,0.3418
2000,8,ARI,-1.5111,0.2045,0.6004,0.6206,0.2568,0.806,-2.7104,0.0837,-0.9904,0.0433,-0.0436,0.3352,-2.1372,0.1479,0.3598,0.4496,0.1677,0.7358,-2.9755,0.069,-1.1299,0.0277,-0.0187,0.3751
2000,9,ARI,-2.1339,0.1472,0.3672,0.4628,0.1735,0.7449,-2.995,0.0598,-1.1637,0.0222,-0.0222,0.3687,-2.3323,0.133,0.5455,0.5755,0.0748,0.6589,-2.8854,0.0767,-1.1838,0.0218,-0.0937,0.2656
2000,10,ARI,-2.3398,0.1312,0.555,0.5927,0.0792,0.6655,-2.9047,0.0668,-1.2191,0.0171,-0.099,0.257,-2.1664,0.1457,0.3637,0.4525,0.1311,0.7072,-3.0118,0.0666,-1.1956,0.0206,-0.0504,0.3261
2000,11,ARI,-2.1664,0.145,0.3712,0.4662,0.1363,0.7146,-3.0314,0.0576,-1.2311,0.0163,-0.0547,0.3183,-1.9983,0.1586,0.2611,0.3753,0.2741,0.8124,-3.4496,0.0385,-1.2098,0.0197,-0.0619,0.3104
2000,12,ARI,-1.9903,0.1586,0.2675,0.385,0.2816,0.8223,-3.4702,0.0314,-1.2455,0.0152,-0.0665,0.3022,-2.3449,0.1323,0.1634,0.299,0.3504,0.859,-3.7814,0.0241,-1.2159,0.019,-0.0752,0.291
2000,13,ARI,-2.3572,0.1296,0.1688,0.3066,0.3592,0.868,-3.8027,0.0195,-1.2516,0.0147,-0.08,0.2834,-3.1293,0.0856,0.2769,0.3867,0.4318,0.8945,-4.0687,0.0162,-1.2803,0.0142,-0.0768,0.2891
2000,14,ARI,-3.1834,0.0816,0.2835,0.3964,0.4419,0.9036,-4.0907,0.0133,-1.3176,0.0111,-0.0816,0.2803,-2.659,0.1114,0.2275,0.3485,0.3074,0.834,-4.1219,0.015,-1.3344,0.0115,-0.0649,0.3055
2000,15,ARI,-2.6705,0.1102,0.2291,0.3538,0.311,0.8414,-4.0922,0.0132,-1.3572,0.0095,-0.0686,0.2995,-2.4987,0.1222,0.1324,0.2755,0.3307,0.8489,-4.8283,0.0052,-1.3983,0.0093,-0.1128,0.2399
2000,16,ARI,-2.5024,0.1216,0.1347,0.2785,0.3338,0.8545,-4.7862,0.0044,-1.4203,0.0072,-0.117,0.231,-2.7092,0.1086,0.0554,0.2229,0.2674,0.8076,-3.9411,0.0188,-1.4324,0.0082,-0.1107,0.2425
2000,17,ARI,-2.7209,0.1074,0.0588,0.2245,0.2701,0.814,-3.9041,0.0168,-1.4531,0.0064,-0.1147,0.2337,-3.4438,0.0694,0.078,0.2379,0.3349,0.8508,-3.3244,0.0462,-1.4923,0.0059,-0.1307,0.2176
2001,1,ARI,-2.6975,0.1086,0.0563,0.2231,0.2656,0.8111,-3.8467,0.0179,-1.433,0.007,-0.1134,0.2354,-3.4153,0.071,0.0756,0.2367,0.3287,0.8481,-3.2802,0.049,-1.4758,0.0066,-0.129,0.2192
2001,2,ARI,-2.3132,0.1332,0.0963,0.2518,0.1796,0.75,-1.704,0.2243,-0.6672,0.1495,-0.074,0.2912,-1.8084,0.1746,0.0668,0.2305,0.1219,0.6986,-2.0245,0.1821,-0.7272,0.1306,-0.1317,0.2162
2001,3,ARI,-1.8005,0.1746,0.0703,0.2323,0.1239,0.7029,-2.0037,0.1703,-0.7288,0.121,-0.1335,0.2115,-1.6588,0.1887,0.2019,0.3294,0.0103,0.6011,-2.9514,0.0715,-0.7216,0.1333,-0.1696,0.1723
2001,4,ARI,-1.6452,0.1909,0.2035,0.334,0.0125,0.6048,-2.9166,0.0657,-0.7226,0.1236,-0.1719,0.1662,-0.8345,0.2746,0.2381,0.3579,-0.1147,0.4834,-2.8462,0.0806,-0.7914,0.102,-0.1388,0.2093
2001,5,ARI,-0.7977,0.2809,0.2401,0.3643,-0.1126,0.4842,-2.8411,0.0722,-0.804,0.0896,-0.1416,0.2026,-0.5625,0.3035,0.1341,0.277,-0.0058,0.5863,-2.643,0.1003,-0.8888,0.0724,-0.1403,0.2069
2001,6,ARI,-0.5146,0.3114,0.1363,0.2797,-0.0028,0.5907,-2.6393,0.0907,-0.9046,0.0624,-0.1432,0.2008,0.5968,0.4413,0.1305,0.2742,-0.1262,0.4757,-2.4212,0.1233,-0.8993,0.0688,-0.2061,0.1355
2001,7,ARI,0.6979,0.4599,0.1328,0.277,-0.1238,0.4738,-2.4181,0.1128,-0.9153,0.0596,-0.2102,0.1286,-0.059,0.3604,0.0781,0.2382,-0.2134,0.3963,-2.2393,0.1493,-0.8881,0.0727,-0.1864,0.1545
2001,8,ARI,0.0071,0.3708,0.0809,0.2404,-0.2117,0.3928,-2.2372,0.1372,-0.9036,0.0626,-0.19,0.1469,0.335,0.4075,-0.0833,0.1433,-0.2639,0.352,-2.0973,0.1703,-0.9088,0.0662,-0.2701,0.0848
2001,9,ARI,0.4182,0.4237,-0.08,0.1418,-0.2625,0.3467,-2.0957,0.1561,-0.925,0.0575,-0.2752,0.0781,0.0936,0.3774,-0.0495,0.1592,-0.3408,0.2901,-1.9598,0.1929,-0.9768,0.0505,-0.1691,0.1731
