season,week,team,pass_off_value_created,pass_off_norm_value_created,pass_off_ptile_created,pass_def_value_created,pass_def_norm_value_created,pass_def_ptile_created,rush_off_value_created,rush_off_norm_value_created,rush_off_ptile_created,rush_def_value_created,rush_def_norm_value_created,rush_def_ptile_created,st_off_value_created,st_off_norm_value_created,st_off_ptile_created,st_def_value_created,st_def_norm_value_created,st_def_ptile_created
1999,1,ARI,0.7476,0.8644,0.4967,13.5536,5.8481,0.9036,-7.3759,-2.8994,0.0829,-1.5272,-0.3926,0.3982,0.9809,0.1308,0.6144,0.2374,0.3877,0.5079
1999,2,ARI,-4.6673,-2.7763,0.2569,11.4471,5.9305,0.9067,-5.7968,-3.156,0.0655,2.1144,1.3185,0.6932,0.6995,0.0792,0.6051,-0.3175,0.1742,0.455
1999,3,ARI,-6.1612,-3.9564,0.1917,7.9251,5.2219,0.8799,-4.0092,-2.7167,0.0995,-1.7088,-0.881,0.3164,0.9577,0.3718,0.6638,-2.5121,-1.5773,0.1303
1999,4,ARI,-7.0622,-4.9229,0.1462,2.9296,1.902,0.7101,-6.0816,-3.745,0.0371,0.0484,0.1532,0.4911,0.438,0.1323,0.6149,-0.8024,-0.4927,0.3078
1999,5,ARI,-5.3998,-4.6297,0.1596,3.984,3.6221,0.8114,-5.8648,-3.8966,0.0321,0.4037,0.5119,0.553,0.0415,-0.1744,0.5524,-0.2411,-0.0307,0.4072
1999,6,ARI,-6.481,-6.0677,0.1043,3.4918,3.3501,0.7969,-5.3948,-4.1741,0.0249,-1.0776,-0.6626,0.3523,0.894,0.6323,0.7156,-0.3152,-0.1161,0.3866
1999,7,ARI,-6.481,-6.2759,0.0984,3.4918,3.4038,0.8004,-5.3948,-4.648,0.0151,-1.0776,-0.5909,0.3648,0.894,0.591,0.7085,-0.3152,-0.1008,0.3896
1999,8,ARI,-8.9947,-9.0329,0.0366,1.8933,1.8579,0.7072,-4.5069,-4.1797,0.0247,-1.0847,-0.626,0.359,1.2751,1.0646,0.7925,0.1069,0.432,0.5192
1999,9,ARI,-9.0926,-9.5403,0.0293,0.3834,0.2598,0.5935,-3.6841,-3.7432,0.0372,-0.5765,-0.0564,0.4547,0.6234,0.4045,0.6721,0.5509,0.9286,0.6319
1999,10,ARI,-8.0721,-8.7782,0.0408,-0.2185,-0.1881,0.556,-3.4145,-3.375,0.0521,-0.3924,-0.022,0.4607,0.5301,0.2247,0.6346,1.1202,1.7678,0.7876
1999,11,ARI,-7.9742,-8.187,0.051,0.5535,0.4127,0.6045,-2.7361,-3.2947,0.0569,-0.708,-0.4175,0.3944,0.6742,0.3836,0.6666,1.0392,1.7855,0.7916
1999,12,ARI,-6.8321,-7.2945,0.0692,1.2764,1.3607,0.6738,-2.5787,-3.1756,0.0642,-0.9022,-0.6391,0.3569,0.8378,0.6959,0.7267,0.7199,1.3826,0.7205
1999,13,ARI,-6.5727,-7.4222,0.0659,1.1666,1.2519,0.6671,-2.4142,-3.2161,0.0613,-0.6531,-0.253,0.4222,0.8419,0.7221,0.731,0.7208,1.4429,0.732
1999,14,ARI,-7.3405,-8.4705,0.0463,1.1544,1.2988,0.6696,-2.3803,-3.2238,0.0609,-1.4344,-1.2282,0.2636,1.2376,1.3155,0.8315,0.8772,1.6924,0.7752
1999,15,ARI,-6.8204,-7.9768,0.0556,0.4471,0.4482,0.6069,-1.8352,-2.6979,0.1017,-1.7595,-1.5594,0.2179,1.2335,1.3693,0.8374,0.5076,1.2179,0.6893
